0	67
1	221
2	104
3	96
4	103
5	163
6	56
7	164
8	177
9	121
10	151
11	27
12	197
13	26
14	213
15	113
16	229
17	11
18	30
19	202
20	15
21	243
22	168
23	251
24	240
25	23
26	145
27	102
28	28
29	45
30	225
31	84
32	236
33	156
34	204
35	31
36	136
37	38
38	117
39	242
40	3
41	94
42	83
43	126
44	228
45	187
46	18
47	196
48	207
49	135
50	77
51	57
52	91
53	52
54	12
55	65
56	98
57	21
58	209
59	109
60	255
61	153
62	160
63	203
64	181
65	179
66	50
67	216
68	86
69	142
70	175
71	2
72	47
73	7
74	29
75	93
76	148
77	152
78	63
79	146
80	72
81	132
82	254
83	140
84	159
85	54
86	171
87	222
88	14
89	250
90	82
91	206
92	205
93	188
94	133
95	61
96	33
97	137
98	193
99	172
100	169
101	5
102	59
103	124
104	186
105	62
106	89
107	115
108	51
109	130
110	32
111	95
112	122
113	76
114	180
115	92
116	232
117	107
118	8
119	218
120	247
121	233
122	40
123	211
124	110
125	147
126	223
127	158
128	114
129	48
130	129
131	19
132	227
133	79
134	183
135	112
136	106
137	241
138	88
139	36
140	249
141	44
142	217
143	154
144	81
145	116
146	191
147	71
148	9
149	178
150	235
151	215
152	199
153	119
154	248
155	185
156	252
157	73
158	201
159	85
160	25
161	239
162	53
163	120
164	208
165	58
166	99
167	237
168	41
169	195
170	75
171	127
172	111
173	49
174	90
175	70
176	80
177	244
178	69
179	64
180	34
181	198
182	123
183	37
184	13
185	210
186	6
187	10
188	157
189	219
190	212
191	60
192	78
193	165
194	230
195	42
196	0
197	100
198	144
199	200
200	1
201	105
202	55
203	192
204	138
205	87
206	161
207	166
208	128
209	39
210	139
211	220
212	125
213	253
214	226
215	176
216	20
217	238
218	173
219	143
220	189
221	131
222	46
223	35
224	118
225	149
226	174
227	162
228	234
229	194
230	231
231	245
232	170
233	68
234	17
235	184
236	16
237	22
238	182
239	224
240	24
241	167
242	43
243	4
244	108
245	190
246	74
247	155
248	150
249	141
250	134
251	246
252	214
253	101
254	97
255	66
